United States and territories,56.5%
Germany,33.9%
China and territories,14.0%
France and territories,12.8%
Netherlands and territories,4.5%
United Kingdom and territories,4.5%
Singapore,4.5%
Russian Federation,4.4%
Japan,4.4%
Ireland,3.9%
Italy,3.4%
Iran,3.0%
India,2.6%
Finland and territories,2.6%
Sweden,2.2%
Taiwan,1.5%
Turkey,1.1%
South Korea,1.0%
Poland,1.0%
Indonesia,0.8%
Viet Nam,0.7%
Canada,0.7%
Switzerland,0.7%
Czech Republic,0.7%
Australia,0.4%
United Arab Emirates,0.4%
Belgium,0.3%
Brazil,0.3%
Austria,0.3%
Luxembourg,0.3%
Venezuela,0.3%
Afghanistan,0.3%
Thailand,0.1%
Spain,0.1%
Belarus,0.1%
Denmark and territories,0.1%
Malaysia,0.1%
Argentina,0.1%
Kazakhstan,0.1%
Chile,0.1%
Norway,0.1%
Iceland,0.1%
Bosnia and Herzegovina,0.1%
Cyprus,0.1%
Angola,0.1%
