1.,United States and territories,53.4%
1.1.,    United States,53.3%
1.2.,    Guam,0.1%
2.,Germany,22.1%
3.,France and territories,16.1%
3.1.,    France,16.1%
4.,China and territories,14.5%
4.1.,    China,12.7%
4.2.,    Hong Kong,2.9%
5.,Switzerland,9.5%
6.,Russian Federation,4.6%
7.,Japan,4.5%
8.,Singapore,4.3%
9.,United Kingdom and territories,4.3%
9.1.,    United Kingdom,4.3%
10.,Netherlands and territories,4.2%
10.1.,    Netherlands,4.2%
11.,Finland and territories,3.2%
11.1.,    Finland,3.2%
12.,Ireland,2.9%
13.,Iran,2.7%
14.,India,2.5%
15.,Taiwan,1.8%
16.,Italy,1.4%
17.,Sweden,1.3%
18.,Turkey,1.1%
19.,South Korea,0.8%
20.,Indonesia,0.8%
21.,Poland,0.8%
22.,Czech Republic,0.8%
23.,Canada,0.6%
24.,Belgium,0.6%
25.,Viet Nam,0.4%
26.,Luxembourg,0.4%
27.,United Arab Emirates,0.4%
28.,Venezuela,0.4%
29.,Australia,0.3%
30.,Spain,0.3%
31.,Brazil,0.3%
32.,Austria,0.3%
33.,Thailand,0.1%
34.,Denmark and territories,0.1%
34.1.,    Denmark,0.1%
35.,Malaysia,0.1%
36.,Argentina,0.1%
37.,Kazakhstan,0.1%
38.,Chile,0.1%
39.,Slovakia,0.1%
40.,Norway,0.1%
41.,Iceland,0.1%
42.,Bosnia and Herzegovina,0.1%
43.,Turkmenistan,0.1%
44.,Angola,0.1%
