1.,United States and territories,51.7%
1.1.,    United States,51.7%
2.,Germany,29.4%
3.,France and territories,14.5%
3.1.,    France,14.5%
4.,China and territories,14.1%
4.1.,    China,12.8%
4.2.,    Hong Kong,1.9%
5.,Netherlands and territories,6.3%
5.1.,    Netherlands,6.3%
6.,Russian Federation,6.1%
7.,United Kingdom and territories,5.7%
7.1.,    United Kingdom,5.7%
8.,Japan,5.0%
9.,Switzerland,5.0%
10.,Singapore,4.5%
11.,Ireland,3.2%
12.,Iran,2.6%
13.,India,2.1%
14.,Italy,1.9%
15.,Taiwan,1.8%
16.,Finland and territories,1.7%
16.1.,    Finland,1.7%
17.,Turkey,1.1%
18.,Canada,1.1%
19.,Spain,1.1%
20.,South Korea,1.0%
21.,Indonesia,0.8%
22.,Czech Republic,0.8%
23.,Sweden,0.8%
24.,Belgium,0.8%
25.,Viet Nam,0.7%
26.,Poland,0.7%
27.,Austria,0.4%
28.,United Arab Emirates,0.4%
29.,Venezuela,0.4%
30.,Brazil,0.3%
31.,Luxembourg,0.3%
32.,Australia,0.1%
33.,Thailand,0.1%
34.,Denmark and territories,0.1%
34.1.,    Denmark,0.1%
35.,Malaysia,0.1%
36.,Greece,0.1%
37.,Kazakhstan,0.1%
38.,Argentina,0.1%
39.,Hungary,0.1%
40.,Chile,0.1%
41.,Latvia,0.1%
42.,Iceland,0.1%
43.,Bosnia and Herzegovina,0.1%
44.,Seychelles,0.1%
45.,Turkmenistan,0.1%
46.,Angola,0.1%
