Rank,Server Locations,Percentage Top 10,000 Sites
1,United States and territories,45.40%
1.1,    United States,45.40%
2,Germany,17.09%
3,France and territories,14.09%
3.1,    France,14.09%
4,China and territories,11.34%
4.1,    China,9.96%
4.2,    Hong Kong,1.99%
4.3,    Macao,0.02%
5,Japan,5.65%
6,Russian Federation,5.02%
7,Netherlands and territories,4.88%
7.1,    Netherlands,4.88%
8,Italy,3.46%
9,United Kingdom and territories,3.24%
9.1,    United Kingdom,3.24%
10,South Korea,3.08%
11,Ireland,3.05%
12,India,2.95%
13,Singapore,2.94%
14,Iran,2.38%
15,Austria,1.83%
16,Canada,1.68%
17,Turkey,1.27%
18,Hungary,0.91%
19,Taiwan,0.87%
20,Sweden,0.87%
21,Spain,0.86%
22,Switzerland,0.76%
23,Brazil,0.70%
24,Poland,0.68%
25,Czech Republic,0.65%
26,Finland and territories,0.62%
26.1,    Finland,0.62%
27,Australia,0.57%
28,Viet Nam,0.54%
29,Indonesia,0.54%
30,United Arab Emirates,0.40%
31,Ukraine,0.35%
32,Belgium,0.32%
33,Saudi Arabia,0.30%
34,Greece,0.25%
35,Argentina,0.25%
36,Azerbaijan,0.25%
37,Mexico,0.24%
38,South Africa,0.19%
39,Romania,0.19%
40,Luxembourg,0.17%
41,Slovakia,0.16%
42,Thailand,0.14%
43,Israel,0.14%
44,Bulgaria,0.14%
45,Kazakhstan,0.14%
46,Latvia,0.13%
47,Malaysia,0.11%
48,Chile,0.10%
49,Portugal,0.10%
50,Pakistan,0.10%
51,Venezuela,0.10%
52,Estonia,0.08%
53,Croatia,0.08%
54,Qatar,0.08%
55,Angola,0.08%
56,Belarus,0.06%
57,Norway,0.06%
58,Moldova,0.06%
59,Uzbekistan,0.06%
60,Turkmenistan,0.06%
61,Denmark and territories,0.05%
61.1,    Denmark,0.05%
62,Lithuania,0.05%
63,Egypt,0.05%
64,Seychelles,0.05%
65,Serbia,0.03%
66,Mongolia,0.03%
67,Bosnia and Herzegovina,0.03%
68,North Macedonia,0.03%
69,Ecuador,0.03%
70,Algeria,0.03%
71,Bangladesh,0.02%
72,Slovenia,0.02%
73,Nepal,0.02%
74,Colombia,0.02%
75,Peru,0.02%
76,Iceland,0.02%
77,Kyrgyzstan,0.02%
78,Armenia,0.02%
79,Panama,0.02%
80,Kuwait,0.02%
81,Cambodia,0.02%
82,Cote d'Ivoire,0.02%
83,Cuba,0.02%
